appid,name,developer,publisher,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,competitive,avgNumberOfPlayersLast30Days,userPercentage
928600,F1 2019,Codemasters,"Codemasters, Electronic Arts","500,000 .. 1,000,000",4808,0,2473,0,79,0,No,44,0.00013845621322256836
754150,Rolling Line,Gaugepunk Games,Gaugepunk Games,"100,000 .. 200,000",0,0,0,0,63,1999,No,44,0.00013845621322256836
657200,Hand Simulator,HFM Games,HFM Games,"1,000,000 .. 2,000,000",208,5,119,5,51,299,No,42,0.0001321627489851789
1282590,Train Sim World 2,Dovetail Games,Dovetail Games - TSW,"500,000 .. 1,000,000",1043,0,1561,0,46,1999,No,42,0.0001321627489851789
755540,LIV,LIV Inc,LIV Inc,"200,000 .. 500,000",678,0,1044,0,51,0,No,41,0.00012901601686648415
617830,SUPERHOT VR,SUPERHOT Team,SUPERHOT Team,"500,000 .. 1,000,000",210,0,117,0,93,999,No,40,0.00012586928474778942
362930,Garfield Kart,Artefacts Studio,Microids,"500,000 .. 1,000,000",2,0,3,0,46,499,Yes,39,0.0001227225526290947
661130,ChilloutVR,Alpha Blend Interactive,Alpha Blend Interactive,"200,000 .. 500,000",1,0,1,0,55,0,No,39,0.0001227225526290947
2669410,Metro Awakening,Vertigo Games,Vertigo Games,"50,000 .. 100,000",0,0,0,0,39,3999,No,39,0.0001227225526290947
420560,Firefighting Simulator - The Squad,Chronos Unterhaltungssoftware,astragon Entertainment GmbH,"500,000 .. 1,000,000",434,0,434,0,47,2499,No,39,0.0001227225526290947
1032430,Blood Trail,Electrovore,Electrovore,"200,000 .. 500,000",328,54,328,54,47,2499,No,38,0.00011957582051039995
689580,TurnSignal,Ben Otter,Otter-Co,"1,000,000 .. 2,000,000",1135,0,1135,0,60,0,No,37,0.00011642908839170522
2897700,Arizona Sunshine Remake,Vertigo Games,Vertigo Games,"0 .. 20,000",0,0,0,0,58,999,No,36,0.00011328235627301047
1410640,Syberia: The World Before,Microids Studio Paris,Microids,"200,000 .. 500,000",0,0,0,0,130,799,No,36,0.00011328235627301047
1408230,Walkabout Mini Golf VR,Mighty Coconut,Mighty Coconut,"200,000 .. 500,000",323,0,626,0,36,1499,No,35,0.00011013562415431574
396750,EVERSPACE,ROCKFISH Games,ROCKFISH Games,"500,000 .. 1,000,000",568,0,141,0,39,1999,No,35,0.00011013562415431574
503770,Elven Assassin,Wenkly Studio Sp. z o.o.,Wenkly Studio Sp. z o.o.,"100,000 .. 200,000",0,0,0,0,81,1999,No,34,0.000106988892035621
690040,SUPERHOT: MIND CONTROL DELETE,SUPERHOT Team,SUPERHOT Team,"1,000,000 .. 2,000,000",884,3,225,3,69,999,No,34,0.000106988892035621
1712350,Riven,Cyan Worlds Inc,Cyan Worlds Inc,"50,000 .. 100,000",0,0,0,0,48,3499,No,33,0.00010384215991692627
